CELULARES,9584543,"Celular - IPHONE 16 PRO - IMEI: 354359262538194 - SEMINOVO - 128GB - PRETO - Id: 9584543 - Saúde bateria: 89 - APPLE - CELULARES - IPHONE",354359262538194,0,0,,"IPHONE 16 PRO",89,1
CELULARES,9584528,"Celular - IPHONE 13 - IMEI: 354038649167493 - SEMINOVO - 128GB - PRETO - Id: 9584528 - Saúde bateria: 80 - APPLE - CELULARES - IPHONE",354038649167493,0,0,,"IPHONE 13",80,1
CELULARES,9563585,"Celular - IPHONE 16 PRO MAX - IMEI: 355469924273184 - SEMINOVO - 256GB - DESERT - Id: 9563585 - Saúde bateria: 92 - APPLE - CELULARES - IPHONE",355469924273184,0,0,,"IPHONE 16 PRO MAX",92,1
CELULARES,9563566,"Celular - IPHONE 14 PRO MAX - IMEI: 350387755333165 - SEMINOVO - 128GB - BRANCO - Id: 9563566 - Saúde bateria: 86 - APPLE - CELULARES - IPHONE",350387755333165,0,0,,"IPHONE 14 PRO MAX",86,1
CELULARES,9563550,"Celular - IPHONE 14 PRO MAX - IMEI: 357917870097700 - SEMINOVO - 128GB - ROXO - Id: 9563550 - Saúde bateria: 75 - APPLE - CELULARES - IPHONE",357917870097700,0,0,,"IPHONE 14 PRO MAX",75,1
CELULARES,9563518,"Celular - IPHONE 15 PRO MAX - IMEI: 354058241355148 - SEMINOVO - 256GB - TITÂNIO NATURAL - Id: 9563518 - Saúde bateria: 84 - APPLE - CELULARES - IPHONE",354058241355148,0,0,,"IPHONE 15 PRO MAX",84,1
CELULARES,9563423,"Celular - IPHONE 12 PRO MAX - IMEI: 350002268071273 - SEMINOVO - 128GB - PRETO - Id: 9563423 - Saúde bateria: 74 - APPLE - CELULARES - IPHONE",350002268071273,0,0,,"IPHONE 12 PRO MAX",74,1
CELULARES,9563422,"Celular - IPHONE 14 PRO MAX - IMEI: 353742532054574 - SEMINOVO - 128GB - ROXO - Id: 9563422 - Saúde bateria: 97 - APPLE - CELULARES - IPHONE",353742532054574,0,0,,"IPHONE 14 PRO MAX",97,1
CELULARES,9563370,"Celular - IPHONE 15 - IMEI: 35388719858193 - SEMINOVO - 128GB - ROSA - Id: 9563370 - Saúde bateria: 90 - APPLE - CELULARES - IPHONE",35388719858193,0,0,,"IPHONE 15",90,1
CELULARES,9551984,"Celular - IPHONE 11 PRO MAX - IMEI: 352853114802883 - SEMINOVO - 64GB - PRETO - Id: 9551984 - Saúde bateria: 100 - APPLE - CELULARES - IPHONE",352853114802883,0,0,,"IPHONE 11 PRO MAX",100,1
CELULARES,9551946,"Celular - IPHONE 14 PRO MAX - IMEI: 353885667841024 - SEMINOVO - 256GB - ROXO - Id: 9551946 - Saúde bateria: 85 - APPLE - CELULARES - IPHONE",353885667841024,0,0,,"IPHONE 14 PRO MAX",85,1
CELULARES,9551932,"Celular - IPHONE 15 PRO MAX - IMEI: 359428796457067 - SEMINOVO - 512GB - PRETO - Id: 9551932 - Saúde bateria: 87 - APPLE - CELULARES - IPHONE",359428796457067,0,0,,"IPHONE 15 PRO MAX",87,1
CELULARES,9549938,"Celular - IPHONE 17 PRO MAX - IMEI: 358206133006388 - NOVO - 256GB - PRATEADO - Id: 9549938 - Saúde bateria: 0 - APPLE - CELULARES - IPHONE",358206133006388,0,0,,"IPHONE 17 PRO MAX",0,1
CELULARES,9549933,"Celular - IPHONE 17 PRO - IMEI: 353621841043751 - NOVO - 256GB - AZUL - Id: 9549933 - Saúde bateria: 0 - APPLE - CELULARES - IPHONE",353621841043751,0,0,,"IPHONE 17 PRO",0,1
,9537701,"Celular - IPHONE 13 PRO - IMEI: 359052374368353 - SEMINOVO - 128GB - PRETO - Id: 9537701 - Saúde bateria: 75",359052374368353,0,0,,"IPHONE 13 PRO",75,1
,9537697,"Celular - IPHONE 13 - IMEI: 352707668714813 - SEMINOVO - 256GB - ROSA - Id: 9537697 - Saúde bateria: 83",352707668714813,0,0,,"IPHONE 13",83,1
